Ano	Faixa	Sexo	Porte	Procedimento	Anual
2024	<1	F	Grande	Fisioterapia	20.604
2024	<1	M	Grande	Fisioterapia	23.893
2024	1 a 4	F	Grande	Fisioterapia	48.445
2024	1 a 4	M	Grande	Fisioterapia	61.994
2024	5 a 9	F	Grande	Fisioterapia	82.035
2024	5 a 9	M	Grande	Fisioterapia	115.215
2024	10 a 14	F	Grande	Fisioterapia	137.977
2024	10 a 14	M	Grande	Fisioterapia	154.510
2024	15 a 19	F	Grande	Fisioterapia	143.322
2024	15 a 19	M	Grande	Fisioterapia	166.247
2024	<1	F	Grande	Fonoaudiologia	19.958
2024	<1	M	Grande	Fonoaudiologia	21.530
2024	1 a 4	F	Grande	Fonoaudiologia	667.617
2024	1 a 4	M	Grande	Fonoaudiologia	1.505.201
2024	5 a 9	F	Grande	Fonoaudiologia	1.040.331
2024	5 a 9	M	Grande	Fonoaudiologia	2.133.495
2024	10 a 14	F	Grande	Fonoaudiologia	301.153
2024	10 a 14	M	Grande	Fonoaudiologia	546.531
2024	15 a 19	F	Grande	Fonoaudiologia	87.161
2024	15 a 19	M	Grande	Fonoaudiologia	127.642
2024	<1	F	Grande	Terapia Ocupacional	6.888
2024	<1	M	Grande	Terapia Ocupacional	8.338
2024	1 a 4	F	Grande	Terapia Ocupacional	308.316
2024	1 a 4	M	Grande	Terapia Ocupacional	771.017
2024	5 a 9	F	Grande	Terapia Ocupacional	427.790
2024	5 a 9	M	Grande	Terapia Ocupacional	1.261.466
2024	10 a 14	F	Grande	Terapia Ocupacional	126.874
2024	10 a 14	M	Grande	Terapia Ocupacional	310.126
2024	15 a 19	F	Grande	Terapia Ocupacional	37.120
2024	15 a 19	M	Grande	Terapia Ocupacional	74.459
2024	<1	F	Grande	Psicologia	483
2024	<1	M	Grande	Psicologia	903
2024	1 a 4	F	Grande	Psicologia	394.767
2024	1 a 4	M	Grande	Psicologia	824.446
2024	5 a 9	F	Grande	Psicologia	1.513.535
2024	5 a 9	M	Grande	Psicologia	2.485.684
2024	10 a 14	F	Grande	Psicologia	1.433.220
2024	10 a 14	M	Grande	Psicologia	1.442.428
2024	15 a 19	F	Grande	Psicologia	1.589.435
2024	15 a 19	M	Grande	Psicologia	847.681
2024	<1	F	Médio	Fisioterapia	5.092
2024	<1	M	Médio	Fisioterapia	7.292
2024	1 a 4	F	Médio	Fisioterapia	15.625
2024	1 a 4	M	Médio	Fisioterapia	20.769
2024	5 a 9	F	Médio	Fisioterapia	21.679
2024	5 a 9	M	Médio	Fisioterapia	39.602
2024	10 a 14	F	Médio	Fisioterapia	33.484
2024	10 a 14	M	Médio	Fisioterapia	35.312
2024	15 a 19	F	Médio	Fisioterapia	34.496
2024	15 a 19	M	Médio	Fisioterapia	32.384
2024	<1	F	Médio	Fonoaudiologia	4.112
2024	<1	M	Médio	Fonoaudiologia	4.304
2024	1 a 4	F	Médio	Fonoaudiologia	190.730
2024	1 a 4	M	Médio	Fonoaudiologia	436.416
2024	5 a 9	F	Médio	Fonoaudiologia	269.920
2024	5 a 9	M	Médio	Fonoaudiologia	561.181
2024	10 a 14	F	Médio	Fonoaudiologia	62.804
2024	10 a 14	M	Médio	Fonoaudiologia	128.304
2024	15 a 19	F	Médio	Fonoaudiologia	15.310
2024	15 a 19	M	Médio	Fonoaudiologia	25.857
2024	<1	F	Médio	Terapia Ocupacional	1.769
2024	<1	M	Médio	Terapia Ocupacional	2.174
2024	1 a 4	F	Médio	Terapia Ocupacional	98.401
2024	1 a 4	M	Médio	Terapia Ocupacional	264.647
2024	5 a 9	F	Médio	Terapia Ocupacional	140.544
2024	5 a 9	M	Médio	Terapia Ocupacional	411.459
2024	10 a 14	F	Médio	Terapia Ocupacional	39.263
2024	10 a 14	M	Médio	Terapia Ocupacional	109.250
2024	15 a 19	F	Médio	Terapia Ocupacional	8.712
2024	15 a 19	M	Médio	Terapia Ocupacional	19.985
2024	<1	F	Médio	Psicologia	60
2024	<1	M	Médio	Psicologia	62
2024	1 a 4	F	Médio	Psicologia	107.035
2024	1 a 4	M	Médio	Psicologia	234.328
2024	5 a 9	F	Médio	Psicologia	416.589
2024	5 a 9	M	Médio	Psicologia	704.503
2024	10 a 14	F	Médio	Psicologia	353.784
2024	10 a 14	M	Médio	Psicologia	381.496
2024	15 a 19	F	Médio	Psicologia	326.970
2024	15 a 19	M	Médio	Psicologia	169.833
2024	<1	F	Pequeno	Fisioterapia	2.047
2024	<1	M	Pequeno	Fisioterapia	2.059
2024	1 a 4	F	Pequeno	Fisioterapia	4.474
2024	1 a 4	M	Pequeno	Fisioterapia	6.869
2024	5 a 9	F	Pequeno	Fisioterapia	6.247
2024	5 a 9	M	Pequeno	Fisioterapia	6.839
2024	10 a 14	F	Pequeno	Fisioterapia	8.979
2024	10 a 14	M	Pequeno	Fisioterapia	10.288
2024	15 a 19	F	Pequeno	Fisioterapia	9.823
2024	15 a 19	M	Pequeno	Fisioterapia	10.403
2024	<1	F	Pequeno	Fonoaudiologia	1.199
2024	<1	M	Pequeno	Fonoaudiologia	1.028
2024	1 a 4	F	Pequeno	Fonoaudiologia	54.162
2024	1 a 4	M	Pequeno	Fonoaudiologia	130.256
2024	5 a 9	F	Pequeno	Fonoaudiologia	77.376
2024	5 a 9	M	Pequeno	Fonoaudiologia	169.878
2024	10 a 14	F	Pequeno	Fonoaudiologia	22.206
2024	10 a 14	M	Pequeno	Fonoaudiologia	38.952
2024	15 a 19	F	Pequeno	Fonoaudiologia	4.662
2024	15 a 19	M	Pequeno	Fonoaudiologia	8.968
2024	<1	F	Pequeno	Terapia Ocupacional	590
2024	<1	M	Pequeno	Terapia Ocupacional	801
2024	1 a 4	F	Pequeno	Terapia Ocupacional	26.058
2024	1 a 4	M	Pequeno	Terapia Ocupacional	71.435
2024	5 a 9	F	Pequeno	Terapia Ocupacional	37.477
2024	5 a 9	M	Pequeno	Terapia Ocupacional	108.703
2024	10 a 14	F	Pequeno	Terapia Ocupacional	12.433
2024	10 a 14	M	Pequeno	Terapia Ocupacional	26.275
2024	15 a 19	F	Pequeno	Terapia Ocupacional	3.268
2024	15 a 19	M	Pequeno	Terapia Ocupacional	4.404
2024	<1	F	Pequeno	Psicologia	25
2024	<1	M	Pequeno	Psicologia	63
2024	1 a 4	F	Pequeno	Psicologia	37.289
2024	1 a 4	M	Pequeno	Psicologia	88.726
2024	5 a 9	F	Pequeno	Psicologia	127.304
2024	5 a 9	M	Pequeno	Psicologia	248.373
2024	10 a 14	F	Pequeno	Psicologia	109.432
2024	10 a 14	M	Pequeno	Psicologia	114.986
2024	15 a 19	F	Pequeno	Psicologia	101.099
2024	15 a 19	M	Pequeno	Psicologia	54.644
2023	<1	F	Grande	Fisioterapia	18.196
2023	<1	M	Grande	Fisioterapia	22.472
2023	1 a 4	F	Grande	Fisioterapia	50.772
2023	1 a 4	M	Grande	Fisioterapia	74.140
