Ano	Porte	Reajuste	Beneficiários
2015	Grande	14.40	1607912
2016	Grande	16.75	1646121
2017	Grande	15.20	1665134
2018	Grande	12.57	1725236
2019	Grande	11.12	1746357
2020	Grande	8.15	1758404
2021	Grande	6.38	1957594
2022	Grande	11.89	2083364
2023	Grande	15.02	2067498
2024	Grande	13.92	2080988
2015	Médio	11.34	338317
2016	Médio	13.11	337096
2017	Médio	11.67	352349
2018	Médio	10.00	354269
2019	Médio	8.63	367113
2020	Médio	6.20	365843
2021	Médio	6.23	388567
2022	Médio	9.94	418275
2023	Médio	11.17	448370
2024	Médio	10.48	463248
2015	Pequeno	12.29	403602
2016	Pequeno	13.80	349774
2017	Pequeno	12.28	336806
2018	Pequeno	10.76	323339
2019	Pequeno	9.45	292150
2020	Pequeno	6.86	246692
2021	Pequeno	7.15	251812
2022	Pequeno	11.00	226459
2023	Pequeno	13.03	161273
2024	Pequeno	11.02	128102
